id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
130109,1301,2,藁城,g,gao cheng,1.30109E+11,槁城區
130110,1301,2,鹿泉,l,lu quan,1.3011E+11,鹿泉區
130111,1301,2,栾城,l,luan cheng,1.30111E+11,欒城區
130121,1301,2,井陉,j,jing xing,1.30121E+11,井陘縣
130123,1301,2,正定,z,zheng ding,1.30123E+11,正定縣
130125,1301,2,行唐,x,xing tang,1.30125E+11,行唐縣
130126,1301,2,灵寿,l,ling shou,1.30126E+11,靈壽縣
130127,1301,2,高邑,g,gao yi,1.30127E+11,高邑縣
130128,1301,2,深泽,s,shen ze,1.30128E+11,深澤縣
130129,1301,2,赞皇,z,zan huang,1.30129E+11,贊皇縣
130130,1301,2,无极,w,wu ji,1.3013E+11,無極縣
130131,1301,2,平山,p,ping shan,1.30131E+11,平山縣
130132,1301,2,元氏,y,yuan shi,1.30132E+11,元氏縣
130133,1301,2,赵县,z,zhao xian,1.30133E+11,趙縣
130181,1301,2,辛集,x,xin ji,1.30181E+11,辛集市
130183,1301,2,晋州,j,jin zhou,1.30183E+11,晉州市
130184,1301,2,新乐,x,xin le,1.30184E+11,新樂市
1302,13,1,唐山,t,tang shan,1.302E+11,唐山市
130202,1302,2,路南,l,lu nan,1.30202E+11,路南區
130203,1302,2,路北,l,lu bei,1.30203E+11,路北區
130204,1302,2,古冶,g,gu ye,1.30204E+11,古冶區
130205,1302,2,开平,k,kai ping,1.30205E+11,開平區
130207,1302,2,丰南,f,feng nan,1.30207E+11,豐南區
130208,1302,2,丰润,f,feng run,1.30208E+11,豐潤區
130209,1302,2,曹妃甸,c,cao fei dian,1.30209E+11,曹妃甸區
130224,1302,2,滦南,l,luan nan,1.30224E+11,灤南縣
130225,1302,2,乐亭,l,lao ting,1.30225E+11,樂亭縣
130227,1302,2,迁西,q,qian xi,1.30227E+11,遷西縣
130229,1302,2,玉田,y,yu tian,1.30229E+11,玉田縣
130281,1302,2,遵化,z,zun hua,1.30281E+11,遵化市
130283,1302,2,迁安,q,qian an,1.30283E+11,遷安市
130284,1302,2,滦州,l,luan zhou,1.30284E+11,灤州市
1303,13,1,秦皇岛,q,qin huang dao,1.303E+11,秦皇島市
130302,1303,2,海港,h,hai gang,1.30302E+11,海港區
130303,1303,2,山海关,s,shan hai guan,1.30303E+11,山海關區
130304,1303,2,北戴河,b,bei dai he,1.30304E+11,北戴河區
130306,1303,2,抚宁,f,fu ning,1.30306E+11,撫寧區
130321,1303,2,青龙,q,qing long,1.30321E+11,青龍滿族自治縣
130322,1303,2,昌黎,c,chang li,1.30322E+11,昌黎縣
130324,1303,2,卢龙,l,lu long,1.30324E+11,盧龍縣
1304,13,1,邯郸,h,han dan,1.304E+11,邯鄲市
130402,1304,2,邯山,h,han shan,1.30402E+11,邯山區
130403,1304,2,丛台,c,cong tai,1.30403E+11,叢臺區
130404,1304,2,复兴,f,fu xing,1.30404E+11,復興區
130406,1304,2,峰峰矿区,f,feng feng kuang qu,1.30406E+11,峰峰礦區
130407,1304,2,肥乡,f,fei xiang,1.30407E+11,肥鄉區
130408,1304,2,永年,y,yong nian,1.30408E+11,永年區
130423,1304,2,临漳,l,lin zhang,1.30423E+11,臨漳縣
130424,1304,2,成安,c,cheng an,1.30424E+11,成安縣
130425,1304,2,大名,d,da ming,1.30425E+11,大名縣
130426,1304,2,涉县,s,she xian,1.30426E+11,涉縣
130427,1304,2,磁县,c,ci xian,1.30427E+11,磁縣
130430,1304,2,邱县,q,qiu xian,1.3043E+11,邱縣
130431,1304,2,鸡泽,j,ji ze,1.30431E+11,雞澤縣
130432,1304,2,广平,g,guang ping,1.30432E+11,廣平縣
130433,1304,2,馆陶,g,guan tao,1.30433E+11,館陶縣
130434,1304,2,魏县,w,wei xian,1.30434E+11,魏縣
130435,1304,2,曲周,q,qu zhou,1.30435E+11,曲周縣
130481,1304,2,武安,w,wu an,1.30481E+11,武安市
1305,13,1,邢台,x,xing tai,1.305E+11,邢臺市
130502,1305,2,襄都,x,xiang du,1.30502E+11,襄都區
130503,1305,2,信都,x,xin du,1.30503E+11,信都區
130505,1305,2,任泽,r,ren ze,1.30505E+11,任澤區
130506,1305,2,南和,n,nan he,1.30506E+11,南和區
130522,1305,2,临城,l,lin cheng,1.30522E+11,臨城縣
130523,1305,2,内丘,n,nei qiu,1.30523E+11,內丘縣
130524,1305,2,柏乡,b,bai xiang,1.30524E+11,柏鄉縣
130525,1305,2,隆尧,l,long yao,1.30525E+11,隆堯縣
130528,1305,2,宁晋,n,ning jin,1.30528E+11,寧晉縣
130529,1305,2,巨鹿,j,ju lu,1.30529E+11,巨鹿縣
130530,1305,2,新河,x,xin he,1.3053E+11,新河縣
130531,1305,2,广宗,g,guang zong,1.30531E+11,廣宗縣
130532,1305,2,平乡,p,ping xiang,1.30532E+11,平鄉縣
130533,1305,2,威县,w,wei xian,1.30533E+11,威縣
130534,1305,2,清河,q,qing he,1.30534E+11,清河縣
130535,1305,2,临西,l,lin xi,1.30535E+11,臨西縣
130581,1305,2,南宫,n,nan gong,1.30581E+11,南宮市
130582,1305,2,沙河,s,sha he,1.30582E+11,沙河市
1306,13,1,保定,b,bao ding,1.306E+11,保定市
130602,1306,2,竞秀,j,jing xiu,1.30602E+11,競秀區
130606,1306,2,莲池,l,lian chi,1.30606E+11,蓮池區
130607,1306,2,满城,m,man cheng,1.30607E+11,滿城區
130608,1306,2,清苑,q,qing yuan,1.30608E+11,清苑區
130609,1306,2,徐水,x,xu shui,1.30609E+11,徐水區
130623,1306,2,涞水,l,lai shui,1.30623E+11,淶水縣
130624,1306,2,阜平,f,fu ping,1.30624E+11,阜平縣
130626,1306,2,定兴,d,ding xing,1.30626E+11,定興縣
130627,1306,2,唐县,t,tang xian,1.30627E+11,唐縣
130628,1306,2,高阳,g,gao yang,1.30628E+11,高陽縣
130629,1306,2,容城,r,rong cheng,1.30629E+11,容城縣
130630,1306,2,涞源,l,lai yuan,1.3063E+11,淶源縣
130631,1306,2,望都,w,wang du,1.30631E+11,望都縣
130632,1306,2,安新,a,an xin,1.30632E+11,安新縣
130633,1306,2,易县,y,yi xian,1.30633E+11,易縣
130634,1306,2,曲阳,q,qu yang,1.30634E+11,曲陽縣
130635,1306,2,蠡县,l,li xian,1.30635E+11,蠡縣
130636,1306,2,顺平,s,shun ping,1.30636E+11,順平縣
130637,1306,2,博野,b,bo ye,1.30637E+11,博野縣
130638,1306,2,雄县,x,xiong xian,1.30638E+11,雄縣
130681,1306,2,涿州,z,zhuo zhou,1.30681E+11,涿州市
130682,1306,2,定州,d,ding zhou,1.30682E+11,定州市
130683,1306,2,安国,a,an guo,1.30683E+11,安國市
130684,1306,2,高碑店,g,gao bei dian,1.30684E+11,高碑店市
1307,13,1,张家口,z,zhang jia kou,1.307E+11,張家口市
130702,1307,2,桥东,q,qiao dong,1.30702E+11,橋東區
130703,1307,2,桥西,q,qiao xi,1.30703E+11,橋西區
130705,1307,2,宣化,x,xuan hua,1.30705E+11,宣化區
130706,1307,2,下花园,x,xia hua yuan,1.30706E+11,下花園區
130708,1307,2,万全,w,wan quan,1.30708E+11,萬全區
130709,1307,2,崇礼,c,chong li,1.30709E+11,崇禮區
130722,1307,2,张北,z,zhang bei,1.30722E+11,張北縣
130723,1307,2,康保,k,kang bao,1.30723E+11,康保縣
130724,1307,2,沽源,g,gu yuan,1.30724E+11,沽源縣
130725,1307,2,尚义,s,shang yi,1.30725E+11,尚義縣
130726,1307,2,蔚县,y,yu xian,1.30726E+11,蔚縣
130727,1307,2,阳原,y,yang yuan,1.30727E+11,陽原縣
130728,1307,2,怀安,h,huai an,1.30728E+11,懷安縣
130730,1307,2,怀来,h,huai lai,1.3073E+11,懷來縣
130731,1307,2,涿鹿,z,zhuo lu,1.30731E+11,涿鹿縣
130732,1307,2,赤城,c,chi cheng,1.30732E+11,赤城縣
1308,13,1,承德,c,cheng de,1.308E+11,承德市
130802,1308,2,双桥,s,shuang qiao,1.30802E+11,雙橋區
130803,1308,2,双滦,s,shuang luan,1.30803E+11,雙灤區
130804,1308,2,鹰手营子矿区,y,ying shou ying zi kuang qu,1.30804E+11,鷹手營子礦區
130821,1308,2,承德县,c,cheng de xian,1.30821E+11,承德縣
130822,1308,2,兴隆,x,xing long,1.30822E+11,興隆縣
130824,1308,2,滦平,l,luan ping,1.30824E+11,灤平縣
130825,1308,2,隆化,l,long hua,1.30825E+11,隆化縣
130826,1308,2,丰宁,f,feng ning,1.30826E+11,豐寧滿族自治縣
130827,1308,2,宽城,k,kuan cheng,1.30827E+11,寬城滿族自治縣
130828,1308,2,围场,w,wei chang,1.30828E+11,圍場滿族蒙古族自治縣
130881,1308,2,平泉,p,ping quan,1.30881E+11,平泉市
1309,13,1,沧州,c,cang zhou,1.309E+11,滄州市
130902,1309,2,新华,x,xin hua,1.30902E+11,新華區
130903,1309,2,运河,y,yun he,1.30903E+11,運河區
130921,1309,2,沧县,c,cang xian,1.30921E+11,滄縣
130922,1309,2,青县,q,qing xian,1.30922E+11,青縣
130923,1309,2,东光,d,dong guang,1.30923E+11,東光縣
130924,1309,2,海兴,h,hai xing,1.30924E+11,海興縣
130925,1309,2,盐山,y,yan shan,1.30925E+11,鹽山縣
130926,1309,2,肃宁,s,su ning,1.30926E+11,肅寧縣
130927,1309,2,南皮,n,nan pi,1.30927E+11,南皮縣
130928,1309,2,吴桥,w,wu qiao,1.30928E+11,吳橋縣
130929,1309,2,献县,x,xian xian,1.30929E+11,獻縣
130930,1309,2,孟村,m,meng cun,1.3093E+11,孟村回族自治縣
130981,1309,2,泊头,b,bo tou,1.30981E+11,泊頭市
130982,1309,2,任丘,r,ren qiu,1.30982E+11,任丘市
130983,1309,2,黄骅,h,huang hua,1.30983E+11,黃驊市
130984,1309,2,河间,h,he jian,1.30984E+11,河間市
1310,13,1,廊坊,l,lang fang,1.31E+11,廊坊市
131002,1310,2,安次,a,an ci,1.31002E+11,安次區
131003,1310,2,广阳,g,guang yang,1.31003E+11,廣陽區
131022,1310,2,固安,g,gu an,1.31022E+11,固安縣
131023,1310,2,永清,y,yong qing,1.31023E+11,永清縣
131024,1310,2,香河,x,xiang he,1.31024E+11,香河縣
131025,1310,2,大城,d,da cheng,1.31025E+11,大城縣
131026,1310,2,文安,w,wen an,1.31026E+11,文安縣
131028,1310,2,大厂,d,da chang,1.31028E+11,大廠回族自治縣
131081,1310,2,霸州,b,ba zhou,1.31081E+11,霸州市
131082,1310,2,三河,s,san he,1.31082E+11,三河市
1311,13,1,衡水,h,heng shui,1.311E+11,衡水市
131102,1311,2,桃城,t,tao cheng,1.31102E+11,桃城區
131103,1311,2,冀州,j,ji zhou,1.31103E+11,冀州區
131121,1311,2,枣强,z,zao qiang,1.31121E+11,棗強縣
131122,1311,2,武邑,w,wu yi,1.31122E+11,武邑縣
131123,1311,2,武强,w,wu qiang,1.31123E+11,武強縣
131124,1311,2,饶阳,r,rao yang,1.31124E+11,饒陽縣
131125,1311,2,安平,a,an ping,1.31125E+11,安平縣
131126,1311,2,故城,g,gu cheng,1.31126E+11,故城縣
131127,1311,2,景县,j,jing xian,1.31127E+11,景縣
131128,1311,2,阜城,f,fu cheng,1.31128E+11,阜城縣
131182,1311,2,深州,s,shen zhou,1.31182E+11,深州市
14,0,0,山西,s,shan xi,1.4E+11,山西省
1401,14,1,太原,t,tai yuan,1.401E+11,太原市
140105,1401,2,小店,x,xiao dian,1.40105E+11,小店區
140106,1401,2,迎泽,y,ying ze,1.40106E+11,迎澤區
140107,1401,2,杏花岭,x,xing hua ling,1.40107E+11,杏花嶺區
140108,1401,2,尖草坪,j,jian cao ping,1.40108E+11,尖草坪區
140109,1401,2,万柏林,w,wan bai lin,1.40109E+11,萬柏林區
140110,1401,2,晋源,j,jin yuan,1.4011E+11,晉源區
140121,1401,2,清徐,q,qing xu,1.40121E+11,清徐縣
140122,1401,2,阳曲,y,yang qu,1.40122E+11,陽曲縣
140123,1401,2,娄烦,l,lou fan,1.40123E+11,婁煩縣
140181,1401,2,古交,g,gu jiao,1.40181E+11,古交市
1402,14,1,大同,d,da tong,1.402E+11,大同市
140212,1402,2,新荣,x,xin rong,1.40212E+11,新榮區
140213,1402,2,平城,p,ping cheng,1.40213E+11,平城區
140214,1402,2,云冈,y,yun gang,1.40214E+11,雲岡區
140215,1402,2,云州,y,yun zhou,1.40215E+11,雲州區
140221,1402,2,阳高,y,yang gao,1.40221E+11,陽高縣
140222,1402,2,天镇,t,tian zhen,1.40222E+11,天鎮縣
140223,1402,2,广灵,g,guang ling,1.40223E+11,廣靈縣
140224,1402,2,灵丘,l,ling qiu,1.40224E+11,靈丘縣
140225,1402,2,浑源,h,hun yuan,1.40225E+11,渾源縣
140226,1402,2,左云,z,zuo yun,1.40226E+11,左雲縣
1403,14,1,阳泉,y,yang quan,1.403E+11,陽泉市
140302,1403,2,城区,c,cheng qu,1.40302E+11,城區
140303,1403,2,矿区,k,kuang qu,1.40303E+11,礦區
140311,1403,2,郊区,j,jiao qu,1.40311E+11,郊區
140321,1403,2,平定,p,ping ding,1.40321E+11,平定縣
140322,1403,2,盂县,y,yu xian,1.40322E+11,盂縣
1404,14,1,长治,c,chang zhi,1.404E+11,長治市
140403,1404,2,潞州,l,lu zhou,1.40403E+11,潞州區
140404,1404,2,上党,s,shang dang,1.40404E+11,上黨區
140405,1404,2,屯留,t,tun liu,1.40405E+11,屯留區
140406,1404,2,潞城,l,lu cheng,1.40406E+11,潞城區
140423,1404,2,襄垣,x,xiang yuan,1.40423E+11,襄垣縣
140425,1404,2,平顺,p,ping shun,1.40425E+11,平順縣
140426,1404,2,黎城,l,li cheng,1.40426E+11,黎城縣
140427,1404,2,壶关,h,hu guan,1.40427E+11,壺關縣
140428,1404,2,长子,z,zhang zi,1.40428E+11,長子縣
140429,1404,2,武乡,w,wu xiang,1.40429E+11,武鄉縣
140430,1404,2,沁县,q,qin xian,1.4043E+11,沁縣
140431,1404,2,沁源,q,qin yuan,1.40431E+11,沁源縣
1405,14,1,晋城,j,jin cheng,1.405E+11,晉城市
140502,1405,2,城区,c,cheng qu,1.40502E+11,城區
140521,1405,2,沁水,q,qin shui,1.40521E+11,沁水縣
140522,1405,2,阳城,y,yang cheng,1.40522E+11,陽城縣
140524,1405,2,陵川,l,ling chuan,1.40524E+11,陵川縣
140525,1405,2,泽州,z,ze zhou,1.40525E+11,澤州縣
140581,1405,2,高平,g,gao ping,1.40581E+11,高平市
1406,14,1,朔州,s,shuo zhou,1.406E+11,朔州市
140602,1406,2,朔城,s,shuo cheng,1.40602E+11,朔城區
140603,1406,2,平鲁,p,ping lu,1.40603E+11,平魯區
140621,1406,2,山阴,s,shan yin,1.40621E+11,山陰縣
140622,1406,2,应县,y,ying xian,1.40622E+11,應縣
140623,1406,2,右玉,y,you yu,1.40623E+11,右玉縣
140681,1406,2,怀仁,h,huai ren,1.40681E+11,懷仁市
1407,14,1,晋中,j,jin zhong,1.407E+11,晉中市
140702,1407,2,榆次,y,yu ci,1.40702E+11,榆次區
140703,1407,2,太谷,t,tai gu,1.40703E+11,太穀區
140721,1407,2,榆社,y,yu she,1.40721E+11,榆社縣
140722,1407,2,左权,z,zuo quan,1.40722E+11,左權縣
140723,1407,2,和顺,h,he shun,1.40723E+11,和順縣
140724,1407,2,昔阳,x,xi yang,1.40724E+11,昔陽縣
140725,1407,2,寿阳,s,shou yang,1.40725E+11,壽陽縣
140727,1407,2,祁县,q,qi xian,1.40727E+11,祁縣
140728,1407,2,平遥,p,ping yao,1.40728E+11,平遙縣
140729,1407,2,灵石,l,ling shi,1.40729E+11,靈石縣
140781,1407,2,介休,j,jie xiu,1.40781E+11,介休市
1408,14,1,运城,y,yun cheng,1.408E+11,運城市
140802,1408,2,盐湖,y,yan hu,1.40802E+11,鹽湖區
140821,1408,2,临猗,l,lin yi,1.40821E+11,臨猗縣
140822,1408,2,万荣,w,wan rong,1.40822E+11,萬榮縣
140823,1408,2,闻喜,w,wen xi,1.40823E+11,聞喜縣
140824,1408,2,稷山,j,ji shan,1.40824E+11,稷山縣
140825,1408,2,新绛,x,xin jiang,1.40825E+11,新絳縣
140826,1408,2,绛县,j,jiang xian,1.40826E+11,絳縣
140827,1408,2,垣曲,y,yuan qu,1.40827E+11,垣曲縣
140828,1408,2,夏县,x,xia xian,1.40828E+11,夏縣
140829,1408,2,平陆,p,ping lu,1.40829E+11,平陸縣
140830,1408,2,芮城,r,rui cheng,1.4083E+11,芮城縣
140881,1408,2,永济,y,yong ji,1.40881E+11,永濟市
140882,1408,2,河津,h,he jin,1.40882E+11,河津市
1409,14,1,忻州,x,xin zhou,1.409E+11,忻州市
140902,1409,2,忻府,x,xin fu,1.40902E+11,忻府區
140921,1409,2,定襄,d,ding xiang,1.40921E+11,定襄縣
140922,1409,2,五台,w,wu tai,1.40922E+11,五臺縣
140923,1409,2,代县,d,dai xian,1.40923E+11,代縣
140924,1409,2,繁峙,f,fan shi,1.40924E+11,繁峙縣
140925,1409,2,宁武,n,ning wu,1.40925E+11,寧武縣
140926,1409,2,静乐,j,jing le,1.40926E+11,靜樂縣
140927,1409,2,神池,s,shen chi,1.40927E+11,神池縣
140928,1409,2,五寨,w,wu zhai,1.40928E+11,五寨縣
140929,1409,2,岢岚,k,ke lan,1.40929E+11,岢嵐縣
140930,1409,2,河曲,h,he qu,1.4093E+11,河曲縣
140931,1409,2,保德,b,bao de,1.40931E+11,保德縣
140932,1409,2,偏关,p,pian guan,1.40932E+11,偏關縣
140981,1409,2,原平,y,yuan ping,1.40981E+11,原平市
1410,14,1,临汾,l,lin fen,1.41E+11,臨汾市
141002,1410,2,尧都,y,yao du,1.41002E+11,堯都區
141021,1410,2,曲沃,q,qu wo,1.41021E+11,曲沃縣
141022,1410,2,翼城,y,yi cheng,1.41022E+11,翼城縣
141023,1410,2,襄汾,x,xiang fen,1.41023E+11,襄汾縣
141024,1410,2,洪洞,h,hong tong,1.41024E+11,洪洞縣
141025,1410,2,古县,g,gu xian,1.41025E+11,古縣
141026,1410,2,安泽,a,an ze,1.41026E+11,安澤縣
141027,1410,2,浮山,f,fu shan,1.41027E+11,浮山縣
141028,1410,2,吉县,j,ji xian,1.41028E+11,吉縣
141029,1410,2,乡宁,x,xiang ning,1.41029E+11,鄉寧縣
141030,1410,2,大宁,d,da ning,1.4103E+11,大寧縣
141031,1410,2,隰县,x,xi xian,1.41031E+11,隰縣
141032,1410,2,永和,y,yong he,1.41032E+11,永和縣
141033,1410,2,蒲县,p,pu xian,1.41033E+11,蒲縣
141034,1410,2,汾西,f,fen xi,1.41034E+11,汾西縣
141081,1410,2,侯马,h,hou ma,1.41081E+11,侯馬市
141082,1410,2,霍州,h,huo zhou,1.41082E+11,霍州市
1411,14,1,吕梁,l,lv liang,1.411E+11,呂梁市
141102,1411,2,离石,l,li shi,1.41102E+11,離石區
141121,1411,2,文水,w,wen shui,1.41121E+11,文水縣
141122,1411,2,交城,j,jiao cheng,1.41122E+11,交城縣
141123,1411,2,兴县,x,xing xian,1.41123E+11,興縣
141124,1411,2,临县,l,lin xian,1.41124E+11,臨縣
141125,1411,2,柳林,l,liu lin,1.41125E+11,柳林縣
141126,1411,2,石楼,s,shi lou,1.41126E+11,石樓縣
141127,1411,2,岚县,l,lan xian,1.41127E+11,嵐縣
141128,1411,2,方山,f,fang shan,1.41128E+11,方山縣
141129,1411,2,中阳,z,zhong yang,1.41129E+11,中陽縣
141130,1411,2,交口,j,jiao kou,1.4113E+11,交口縣
141181,1411,2,孝义,x,xiao yi,1.41181E+11,孝義市
141182,1411,2,汾阳,f,fen yang,1.41182E+11,汾陽市
15,0,0,内蒙古,n,nei meng gu,1.5E+11,內蒙古自治區
1501,15,1,呼和浩特,h,hu he hao te,1.501E+11,呼和浩特市
150102,1501,2,新城,x,xin cheng,1.50102E+11,新城區
150103,1501,2,回民,h,hui min,1.50103E+11,回民區
150104,1501,2,玉泉,y,yu quan,1.50104E+11,玉泉區
150105,1501,2,赛罕,s,sai han,1.50105E+11,賽罕區
150121,1501,2,土默特左旗,t,tu mo te zuo qi,1.50121E+11,土默特左旗
150122,1501,2,托克托,t,tuo ke tuo,1.50122E+11,托克托縣
150123,1501,2,和林格尔,h,he lin ge er,1.50123E+11,和林格爾縣
150124,1501,2,清水河,q,qing shui he,1.50124E+11,清水河縣
150125,1501,2,武川,w,wu chuan,1.50125E+11,武川縣
1502,15,1,包头,b,bao tou,1.502E+11,包頭市
150202,1502,2,东河,d,dong he,1.50202E+11,東河區
150203,1502,2,昆都仑,k,kun du lun,1.50203E+11,昆都侖區
150204,1502,2,青山,q,qing shan,1.50204E+11,青山區
150205,1502,2,石拐,s,shi guai,1.50205E+11,石拐區
150206,1502,2,白云鄂博矿区,b,bai yun e bo kuang qu,1.50206E+11,白雲鄂博礦區
150207,1502,2,九原,j,jiu yuan,1.50207E+11,九原區
150221,1502,2,土默特右旗,t,tu mo te you qi,1.50221E+11,土默特右旗
150222,1502,2,固阳,g,gu yang,1.50222E+11,固陽縣
150223,1502,2,达尔罕茂明安联合旗,d,da er han mao ming an lian he qi,1.50223E+11,達爾罕茂明安聯合旗
1503,15,1,乌海,w,wu hai,1.503E+11,烏海市
150302,1503,2,海勃湾,h,hai bo wan,1.50302E+11,海勃灣區
150303,1503,2,海南,h,hai nan,1.50303E+11,海南區
150304,1503,2,乌达,w,wu da,1.50304E+11,烏達區
1504,15,1,赤峰,c,chi feng,1.504E+11,赤峰市
150402,1504,2,红山,h,hong shan,1.50402E+11,紅山區
150403,1504,2,元宝山,y,yuan bao shan,1.50403E+11,元寶山區
150404,1504,2,松山,s,song shan,1.50404E+11,松山區
150421,1504,2,阿鲁科尔沁旗,a,a lu ke er qin qi,1.50421E+11,阿魯科爾沁旗
150422,1504,2,巴林左旗,b,ba lin zuo qi,1.50422E+11,巴林左旗
150423,1504,2,巴林右旗,b,ba lin you qi,1.50423E+11,巴林右旗
150424,1504,2,林西,l,lin xi,1.50424E+11,林西縣
150425,1504,2,克什克腾旗,k,ke shi ke teng qi,1.50425E+11,克什克騰旗
150426,1504,2,翁牛特旗,w,weng niu te qi,1.50426E+11,翁牛特旗
150428,1504,2,喀喇沁旗,k,ka la qin qi,1.50428E+11,喀喇沁旗
150429,1504,2,宁城,n,ning cheng,1.50429E+11,寧城縣
150430,1504,2,敖汉旗,a,ao han qi,1.5043E+11,敖漢旗
1505,15,1,通辽,t,tong liao,1.505E+11,通遼市
150502,1505,2,科尔沁,k,ke er qin,1.50502E+11,科爾沁區
150521,1505,2,科尔沁左翼中旗,k,ke er qin zuo yi zhong qi,1.50521E+11,科爾沁左翼中旗
150522,1505,2,科尔沁左翼后旗,k,ke er qin zuo yi hou qi,1.50522E+11,科爾沁左翼後旗
150523,1505,2,开鲁,k,kai lu,1.50523E+11,開魯縣
150524,1505,2,库伦旗,k,ku lun qi,1.50524E+11,庫倫旗
150525,1505,2,奈曼旗,n,nai man qi,1.50525E+11,奈曼旗
150526,1505,2,扎鲁特旗,z,zha lu te qi,1.50526E+11,紮魯特旗
150581,1505,2,霍林郭勒,h,huo lin guo le,1.50581E+11,霍林郭勒市
1506,15,1,鄂尔多斯,e,e er duo si,1.506E+11,鄂爾多斯市
150602,1506,2,东胜,d,dong sheng,1.50602E+11,東勝區
150603,1506,2,康巴什,k,kang ba shi,1.50603E+11,康巴什區
150621,1506,2,达拉特旗,d,da la te qi,1.50621E+11,達拉特旗
150622,1506,2,准格尔旗,z,zhun ge er qi,1.50622E+11,准格爾旗
150623,1506,2,鄂托克前旗,e,e tuo ke qian qi,1.50623E+11,鄂托克前旗
150624,1506,2,鄂托克旗,e,e tuo ke qi,1.50624E+11,鄂托克旗
150625,1506,2,杭锦旗,h,hang jin qi,1.50625E+11,杭錦旗
150626,1506,2,乌审旗,w,wu shen qi,1.50626E+11,烏審旗
150627,1506,2,伊金霍洛旗,y,yi jin huo luo qi,1.50627E+11,伊金霍洛旗
1507,15,1,呼伦贝尔,h,hu lun bei er,1.507E+11,呼倫貝爾市
150702,1507,2,海拉尔,h,hai la er,1.50702E+11,海拉爾區
150703,1507,2,扎赉诺尔区,z,zha lai nuo er qu,1.50703E+11,紮賚諾爾區
150721,1507,2,阿荣旗,a,a rong qi,1.50721E+11,阿榮旗
150722,1507,2,莫力达瓦,m,mo li da wa,1.50722E+11,莫力達瓦達斡爾族自治旗
150723,1507,2,鄂伦春自治旗,e,e lun chun zi zhi qi,1.50723E+11,鄂倫春自治旗
150724,1507,2,鄂温克族自治旗,e,e wen ke zu zi zhi qi,1.50724E+11,鄂溫克族自治旗
150725,1507,2,陈巴尔虎旗,c,chen ba er hu qi,1.50725E+11,陳巴爾虎旗
150726,1507,2,新巴尔虎左旗,x,xin ba er hu zuo qi,1.50726E+11,新巴爾虎左旗
150727,1507,2,新巴尔虎右旗,x,xin ba er hu you qi,1.50727E+11,新巴爾虎右旗
150781,1507,2,满洲里,m,man zhou li,1.50781E+11,滿洲里市
